,station_cd,station_g_cd,station_name,station_name_k,station_name_i,line_cd,add,lon,lat,e_sort
5118,2100213,2100213,西新井,にしあらい,に,21002,足立区西新井栄町２丁目,139.790372,35.777323,2100213
5119,2100214,2100214,竹ノ塚,たけのづか,た,21002,足立区竹の塚６丁目,139.790788,35.794368,2100214
5222,2100501,2100204,曳舟,ひきふね,ひ,21005,墨田区東向島２丁目,139.816634,35.718418,2100501
5223,2100502,2100502,小村井,おむらい,お,21005,墨田区文花２-２０-１,139.827595,35.710316,2100502
5224,2100503,2100503,東あずま,ひがしあずま,ひ,21005,墨田区立花４-２３-８,139.831883,35.707067,2100503
5225,2100504,2100504,亀戸水神,かめいどすいじん,か,21005,江東区亀戸８-５-１,139.833422,35.699976,2100504
5226,2100505,1131323,亀戸,かめいど,か,21005,江東区亀戸５丁目,139.826791,35.697708,2100505
5227,2100601,2100213,西新井,にしおおい,に,21006,足立区西新井栄町２丁目,139.790372,35.777323,2100601
5228,2100602,2100602,大師前,だいしまえ,だ,21006,足立区西新井１-３-１,139.781647,35.778989,2100602
5285,2200101,1130212,池袋,いけぶくろ,い,22001,東京都豊島区南池袋一丁目28-2,139.711461,35.72913,2200101
5286,2200102,2200102,椎名町,しいなまち,し,22001,豊島区長崎１-１-２２,139.694363,35.726572,2200102
5287,2200103,2200103,東長崎,ひがしながさき,ひ,22001,豊島区長崎５-１-１,139.683294,35.73003,2200103
5288,2200104,2200104,江古田,えごた,え,22001,練馬区旭丘１-７８-７,139.672814,35.737557,2200104
5289,2200105,2200105,桜台,さくらだい,さ,22001,練馬区桜台１-５-１,139.662602,35.738797,2200105
5290,2200106,2200106,練馬,ねりま,ね,22001,練馬区練馬１-３-５,139.654368,35.737893,2200106
5291,2200107,2200107,中村橋,なかむらばし,な,22001,練馬区中村北４-２-１,139.637456,35.736767,2200107
5292,2200108,2200108,富士見台,ふじみだい,ふ,22001,練馬区貫井３-７-４,139.62969,35.735867,2200108
5293,2200109,2200109,練馬高野台,ねりまたかのだい,ね,22001,練馬区高野台１-７-２７,139.616749,35.740622,2200109
5294,2200110,2200110,石神井公園,しゃくじいこうえん,し,22001,練馬区石神井町３-２３-１０,139.606981,35.743563,2200110
5295,2200111,2200111,大泉学園,おおいずみがくえん,お,22001,練馬区東大泉１-２９-７,139.586732,35.749406,2200111
5327,2200301,2200301,小竹向原,こたけむかいはら,こ,22003,東京都練馬区小竹町二丁目16-15,139.678572,35.743803,2200301
5328,2200302,2200302,新桜台,しんさくらだい,し,22003,練馬区桜台１-２８-１１,139.6683,35.74077,2200302
5329,2200303,2200106,練馬,ねりま,ね,22003,練馬区練馬１-３-５,139.654368,35.737893,2200303
5330,2200401,2200106,練馬,ねりま,ね,22004,練馬区練馬１-３-５,139.654368,35.737893,2200401
5331,2200402,2200402,豊島園,としまえん,と,22004,練馬区練馬４-１６-５,139.647979,35.742054,2200402
5338,2200701,2200701,西武新宿,せいぶしんじゅく,せ,22007,新宿区歌舞伎町１-３０-１,139.7,35.696254,2200701
5339,2200702,1130210,高田馬場,たかだのばば,た,22007,東京都新宿区高田馬場一丁目35-2,139.703715,35.712677,2200702
5340,2200703,2200703,下落合,しもおちあい,し,22007,新宿区下落合１-１６-１,139.695391,35.715846,2200703
5341,2200704,2200704,中井,なかい,な,22007,新宿区中落合１-１９-１,139.686967,35.715106,2200704
5342,2200705,2200705,新井薬師前,あらいやくしまえ,あ,22007,中野区上高田５-４３-２０,139.672582,35.715778,2200705
5343,2200706,2200706,沼袋,ぬまぶくろ,ぬ,22007,中野区沼袋１-３５-１,139.663841,35.719458,2200706
5344,2200707,2200707,野方,のがた,の,22007,中野区野方６-３-３,139.652733,35.719658,2200707
5345,2200708,2200708,都立家政,とりつかせい,と,22007,中野区鷺宮１-１６-１,139.644839,35.722313,2200708
5346,2200709,2200709,鷺ノ宮,さぎのみや,さ,22007,中野区鷺宮３-１５-１,139.63892,35.722605,2200709
5347,2200710,2200710,下井草,しもいぐさ,し,22007,杉並区下井草２-４４-１０,139.624688,35.723852,2200710
5348,2200711,2200711,井荻,いおぎ,い,22007,杉並区下井草５-２３-１５,139.615303,35.72469,2200711
5349,2200712,2200712,上井草,かみいぐさ,か,22007,杉並区上井草３-３２-１,139.602937,35.725326,2200712
5350,2200713,2200713,上石神井,かみしゃくじい,か,22007,練馬区上石神井１-２-４５,139.592266,35.726189,2200713
5351,2200714,2200714,武蔵関,むさしせき,む,22007,練馬区関町北２-２９-１,139.576417,35.7276,2200714
5395,2300101,2300101,京成上野,けいせいうえの,け,23001,東京都台東区上野公園1-60,139.773571,35.711232,2300101
5396,2300102,1130218,日暮里,にっぽり,に,23001,東京都荒川区西日暮里二丁目,139.771287,35.727908,2300102
5397,2300103,2300103,新三河島,しんみかわしま,し,23001,荒川区西日暮里６-２-１,139.773834,35.73714,2300103
5398,2300104,2300104,町屋,まちや,ま,23001,荒川区町屋１丁目,139.781499,35.742354,2300104
5399,2300105,2300105,千住大橋,せんじゅおおはし,せ,23001,足立区千住橋戸町１１-１,139.796934,35.74243,2300105
5400,2300106,2100208,京成関屋,けいせいせきや,け,23001,足立区千住曙町２-２,139.81183,35.744008,2300106
5401,2300107,2300107,堀切菖蒲園,ほりきりしょうぶえん,ほ,23001,葛飾区堀切５-１-１,139.827545,35.747649,2300107
5402,2300108,2300108,お花茶屋,おはなぢゃや,お,23001,葛飾区宝町２-３７-１,139.83988,35.747585,2300108
5403,2300109,2300109,青砥,あおと,あ,23001,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883,2300109
5404,2300110,2300110,京成高砂,けいせいたかさご,け,23001,東京都葛飾区高砂五丁目28-1,139.866875,35.750932,2300110
5405,2300111,2300111,京成小岩,けいせいこいわ,け,23001,江戸川区北小岩２-１０-９,139.88371,35.742158,2300111
5406,2300112,2300112,江戸川,えどがわ,え,23001,江戸川区北小岩３-２４-１５,139.896226,35.737723,2300112
5438,2300201,2100203,押上（スカイツリー前）,おしあげ すかいつりーまえ,お,23002,墨田区押上一丁目,139.812935,35.710702,2300201
5439,2300202,2300202,京成曳舟,けいせいひきふね,け,23002,墨田区京島１-３９-１,139.820012,35.718441,2300202
5440,2300203,2300203,八広,やひろ,や,23002,墨田区八広６-２５-２０,139.828738,35.727687,2300203
5441,2300204,2300204,四ツ木,よつぎ,よ,23002,葛飾区四つ木１-１-１,139.834918,35.731962,2300204
5442,2300205,2300205,京成立石,けいせいたていし,け,23002,葛飾区立石４-２４-１,139.848558,35.738281,2300205
5443,2300206,2300109,青砥,あおと,あ,23002,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883,2300206
5444,2300207,2300110,京成高砂,けいせいたかさご,け,23002,東京都葛飾区高砂五丁目28-1,139.866875,35.750932,2300207
5445,2300301,2300110,京成高砂,けいせいたかさご,け,23003,東京都葛飾区高砂五丁目28-1,139.866875,35.750932,2300301
5446,2300302,2300302,柴又,しばまた,し,23003,葛飾区柴又４-８-１４,139.875188,35.756323,2300302
5447,2300303,1132008,京成金町,けいせいかなまち,け,23003,葛飾区金町５-３７-９,139.870387,35.768471,2300303
5464,2300601,2300101,京成上野,けいせいうえの,け,23006,東京都台東区上野公園1-60,139.773571,35.711232,2300601
5465,2300602,1130218,日暮里,にっぽり,に,23006,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908,2300602
5466,2300603,2300109,青砥,あおと,あ,23006,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883,2300603
5467,2300604,2300110,京成高砂,けいせいたかさご,け,23006,東京都葛飾区高砂五丁目28-1,139.866875,35.750932,2300604
5475,2400101,1130208,新宿,しんじゅく,し,24001,東京都新宿区西新宿一丁目1-4,139.699187,35.690163,2400101
5476,2400102,2400102,初台,はつだい,は,24001,渋谷区初台１-５３-７,139.686354,35.68123,2400102
5477,2400103,2400103,幡ヶ谷,はたがや,は,24001,東京都渋谷区幡ヶ谷一丁目,139.676183,35.677061,2400103
5478,2400104,2400104,笹塚,ささづか,さ,24001,渋谷区笹塚１-５６-７,139.667251,35.673758,2400104
5479,2400105,2400105,代田橋,だいたばし,だ,24001,世田谷区大原２-１８-９,139.659413,35.671092,2400105
5480,2400106,2400106,明大前,めいだいまえ,め,24001,世田谷区松原２-４５-１,139.650352,35.668758,2400106
5481,2400107,2400107,下高井戸,しもたかいど,し,24001,世田谷区松原３-２９-１７,139.641372,35.66615,2400107
5482,2400108,2400108,桜上水,さくらじょうすい,さ,24001,世田谷区桜上水５-２９-５２,139.63129,35.66768,2400108
5483,2400109,2400109,上北沢,かみきたざわ,か,24001,世田谷区上北沢４-１４-３,139.62329,35.668857,2400109
5484,2400110,2400110,八幡山,はちまんやま,は,24001,杉並区上高井戸１-１-１１,139.614927,35.669982,2400110
5485,2400111,2400111,芦花公園,ろかこうえん,ろ,24001,世田谷区南烏山３-１-１６,139.608247,35.670479,2400111
5486,2400112,2400112,千歳烏山,ちとせからすやま,ち,24001,世田谷区南烏山６-１-１,139.60067,35.667921,2400112
5532,2400601,1130205,渋谷,しぶや,し,24006,東京都渋谷区道玄坂一丁目4-1,139.700872,35.6587,2400601
5533,2400701,1130208,新線新宿,しんせんしんじゅく,し,24007,東京都新宿区西新宿一丁目18,139.698812,35.68869,2400601
5534,2400602,2400602,神泉,しんせん,し,24006,渋谷区神泉町４-６,139.693579,35.657244,2400602
5535,2400603,2400603,駒場東大前,こまばとうだいまえ,こ,24006,目黒区駒場３-９-１,139.684308,35.65868,2400603
5536,2400604,2400604,池ノ上,いけのうえ,い,24006,世田谷区代沢２-４３-８,139.67344,35.660402,2400604
5537,2400704,2400104,笹塚,ささづか,さ,24007,渋谷区笹塚１-５６-７,139.667251,35.673758,2400604
5538,2400605,2400605,下北沢,しもきたざわ,し,24006,世田谷区北沢２丁目,139.66691,35.661539,2400605
5539,2400606,2400606,新代田,しんだいた,し,24006,世田谷区代田５-３０-１８,139.660524,35.662593,2400606
5540,2400607,2400607,東松原,ひがしまつばら,ひ,24006,世田谷区松原５-２-６,139.655535,35.662634,2400607
5541,2400608,2400106,明大前,めいだいまえ,め,24006,世田谷区松原２-４５-１,139.650352,35.668758,2400608
5542,2400609,2400609,永福町,えいふくちょう,え,24006,杉並区永福２-６０-３１,139.642733,35.67629,2400609
5543,2400610,2400610,西永福,にしえいふくえき,に,24006,杉並区永福３-３６-１,139.634936,35.678918,2400610
5544,2400611,2400611,浜田山,はまだやま,は,24006,杉並区浜田山３-３１-２,139.627528,35.681603,2400611
5545,2400612,2400612,高井戸,たかいど,た,24006,杉並区高井戸西２-１-２６,139.615115,35.683253,2400612
5546,2400613,2400613,富士見ヶ丘,ふじみがおか,ふ,24006,東京都杉並区久我山五丁目1番25号,139.607072,35.684805,2400613
5547,2400614,2400614,久我山,くがやま,く,24006,杉並区久我山４-１-１１,139.599211,35.688138,2400614
5551,2400702,2400102,初台,はつだい,は,24007,渋谷区初台１-５３-７,139.686354,35.68123,2400702
5552,2400703,2400103,幡ヶ谷,はたがや,は,24007,東京都渋谷区幡ヶ谷一丁目,139.676183,35.677061,2400703
5553,2500101,1130208,新宿,しんじゅく,し,25001,東京都新宿区西新宿一丁目1-3,139.699574,35.691435,2500101
5554,2500102,2500102,南新宿,みなみしんじゅく,み,25001,渋谷区代々木２丁目,139.69867,35.683483,2500102
5555,2500103,2500103,参宮橋,さんぐうばし,さ,25001,渋谷区代々木４丁目,139.693568,35.678586,2500103
5556,2500104,2500104,代々木八幡,よよぎはちまん,よ,25001,渋谷区代々木５丁目,139.688913,35.669715,2500104
5557,2500105,2500105,代々木上原,よよぎうえはら,よ,25001,渋谷区西原３丁目,139.680153,35.669159,2500105
5558,2500106,2500106,東北沢,ひがしきたざわ,ひ,25001,世田谷区北沢３丁目,139.673014,35.665379,2500106
5559,2500107,2400605,下北沢,しもきたざわ,し,25001,世田谷区北沢２丁目,139.667516,35.661655,2500107
5560,2500108,2500108,世田谷代田,せたがやだいた,せ,25001,世田谷区代田２丁目,139.661557,35.65834,2500108
5561,2500109,2500109,梅ヶ丘,うめがおか,う,25001,東京都世田谷区梅丘,139.653628,35.656024,2500109
5562,2500110,2500110,豪徳寺,ごうとくじ,ご,25001,世田谷区豪徳寺１丁目,139.647381,35.653807,2500110
5563,2500111,2500111,経堂,きょうどう,き,25001,世田谷区経堂１丁目,139.635993,35.650991,2500111
5564,2500112,2500112,千歳船橋,ちとせふなばし,ち,25001,世田谷区船橋１丁目,139.624544,35.647616,2500112
5565,2500113,2500113,祖師ヶ谷大蔵,そしがやおおくら,そ,25001,東京都世田谷区祖師谷1丁目,139.609659,35.643236,2500113
5566,2500114,2500114,成城学園前,せいじょうがくえんまえ,せ,25001,世田谷区成城６丁目,139.598958,35.640114,2500114
5567,2500115,2500115,喜多見,きたみ,き,25001,世田谷区喜多見９丁目,139.587445,35.636697,2500115
5625,2600101,1130205,渋谷,しぶや,し,26001,東京都渋谷区渋谷二丁目24-1,139.702417,35.659545,2600101
5626,2600102,2600102,代官山,だいかんやま,だ,26001,渋谷区代官山町１９-４,139.703284,35.648193,2600102
5627,2600103,2600103,中目黒,なかめぐろ,な,26001,目黒区上目黒３-４-１,139.698621,35.643854,2600103
5628,2600104,2600104,祐天寺,ゆうてんじ,ゆ,26001,目黒区祐天寺２-１３-３,139.690758,35.637163,2600104
5629,2600105,2600105,学芸大学,がくげいだいがく,が,26001,目黒区鷹番３-２-１,139.68522,35.628786,2600105
5630,2600106,2600106,都立大学,とりつだいがく,と,26001,目黒区中根１-５-１,139.676393,35.617835,2600106
5631,2600107,2600107,自由が丘,じゆうがおか,じ,26001,目黒区自由が丘１-３０-１,139.668664,35.607224,2600107
5632,2600108,2600108,田園調布,でんえんちょうふ,で,26001,大田区田園調布３-２５-１８,139.667356,35.596815,2600108
5633,2600109,2600109,多摩川,たまがわ,た,26001,大田区田園調布１-５３-８,139.668723,35.589591,2600109
5646,2600201,1130203,目黒,めぐろ,め,26002,東京都品川区上大崎四丁目2-1,139.7155,35.633272,2600201
5647,2600202,2600202,不動前,ふどうまえ,ふ,26002,品川区西五反田５-１２-１,139.71469,35.626526,2600202
5648,2600203,2600203,武蔵小山,むさしこやま,む,26002,品川区小山３-４-８,139.704524,35.620538,2600203
5649,2600204,2600204,西小山,にしこやま,に,26002,品川区小山６-３-１０,139.698694,35.615455,2600204
5650,2600205,2600205,洗足,せんぞく,せ,26002,目黒区洗足２-２１-１,139.694367,35.61043,2600205
5651,2600206,2600206,大岡山,おおおかやま,お,26002,大田区北千束３-２７-１,139.685909,35.607456,2600206
5652,2600207,2600207,奥沢,おくさわ,お,26002,世田谷区奥沢３-４７-１７,139.672355,35.603947,2600207
5653,2600208,2600108,田園調布,でんえんちょうふ,で,26002,大田区田園調布３-２５-１８,139.667356,35.596815,2600208
5654,2600209,2600109,多摩川,たまがわ,た,26002,大田区田園調布１-５３-８,139.668723,35.589591,2600209
5659,2600301,1130205,渋谷,しぶや,し,26003,東京都渋谷区道玄坂二丁目1-1,139.702148,35.65802,2600301
